url;country;date;Zustand;Garantie;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Innenausstattung;Karosserieform;Anzahl Türen;Sitzplätze;Getriebeart;Gänge;Hubraum;Zylinder;Leergewicht;Antriebsart;Kraftstoff;"KraftstoffverbrauchWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";"CO2-EmissionenWeitere Informationen zum offiziellen Kraftstoffverbrauch und den offiziellen spezifischen CO2-Emissionen neuer Personenkraftwagen können dem ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" entnommen werden, der an allen Verkaufsstellen und bei der Deutschen Automobil Treuhand GmbH unter www.dat.de unentgeltlich erhältlich ist.";Schadstoffklasse;haendler;privat;ort;price;ausstattung_liste;Fahrzeughalter;Länderversion;Feinstaubplakette;Nichtraucherfahrzeug;HU Prüfung;Scheckheftgepflegt;Letzter Kundendienst
/angebote/fiat-tipo-1-6-mjt-s-s-sw-pop-van-diesel-weiss-24694a90-0126-491a-ba45-0c4717faf2a9?;Italien;2021-02-17 21:33:55.019724;Jahreswagen;;Fiat;Tipo;14470509;2020;Weiß;Standardlackierung;Bianco;Stoff, Grau;Kombi;5;2;Schaltgetriebe;6;1.598 cm³;4;1.370 kg;Front;Diesel (Rußpartikelfilter);3,7 l/100 km (komb)4,4 l/100 km (innerorts)3,3 l/100 km (außerorts);98 g CO2/km (komb);Euro 6;True;False;59100 Prato - Po;13200;['', 'ABS', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bordcomputer', 'ESP', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Fahrerairbag', 'Getönte Scheiben', 'Klimaanlage', 'Komfort', 'MP3', 'Nebelscheinwerfer', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Start/Stop-Automatik', 'Tagfahrlicht', 'USB', 'Unterhaltung/Media', 'Zentralverriegelung'];;;;;;;
/angebote/fiat-tipo-van-1-6-mjt-s-s-sw-pop-piu-iva-diesel-weiss-fd8bc730-93b1-4ff7-8c35-3b3ab52de0fd?;Italien;2021-02-17 21:33:55.919720;Tageszulassung;;Fiat;Tipo;3990420;2020;Weiß;;Bianco;;Kombi;5;2;Schaltgetriebe;6;1.598 cm³;4;;Front;Diesel;3,7 l/100 km (komb)4,4 l/100 km (innerorts)3,3 l/100 km (außerorts);98 g CO2/km (komb);Euro 6;True;False;21029 Vergiate - Varese;10990;[];;;;;;;
/angebote/fiat-tipo-1-4-t-jet-120cv-sw-lounge-benzin-weiss-8bd06081-f27c-486d-b642-2cee61de022b?;Italien;2021-02-17 21:33:56.801229;Tageszulassung;;Fiat;Tipo;;2020;Weiß;;;Stoff, Schwarz;Kombi;5;5;Schaltgetriebe;6;1.368 cm³;4;1.380 kg;Front;Benzin;6,7 l/100 km (komb)8,7 l/100 km (innerorts)5,5 l/100 km (außerorts);152 g CO2/km (komb);Euro 6d-TEMP;True;False;15100 Tortona - Alessandria - Al;19200;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'DAB-Radio', 'ESP', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Extras', 'Fahrerairbag', 'Geschwindigkeits-begrenzungsanlage', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Lederlenkrad', 'Multifunktionslenkrad', 'Nebelscheinwerfer', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Tagfahrlicht', 'Touchscreen', 'USB', 'Unterhaltung/Media', 'Zentralverriegelung', 'teilb. Rücksitzbank'];1;Italien;;;;;
/angebote/fiat-tipo-1-4-sw-lounge-benzin-schwarz-6b6230b5-a5d3-183b-e053-0100007f986d?;Italien;2021-02-17 21:33:57.695515;Gebraucht;;Fiat;Tipo;;2020;Schwarz;Metallic;;;Kombi;5;5;Schaltgetriebe;6;1.368 cm³;4;1.280 kg;;Benzin;5,8 l/100 km (komb)7,8 l/100 km (innerorts)4,6 l/100 km (außerorts);132 g CO2/km (komb);Euro 6d-TEMP;False;True;25018 Montichiari;16500;['', 'Alufelgen', 'Beifahrerairbag', 'Elektr. Fensterheber', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Komfort', 'Nebelscheinwerfer', 'Raucherpaket', 'Seitenairbag', 'Sicherheit', 'Zentralverriegelung', 'teilb. Rücksitzbank'];;;;;;;
/angebote/fiat-tipo-sw-1-4-b-120cv-easy-p-mirror-km0-uf-ita-benzin-rot-d92ce3da-faed-4a74-9328-ea894609531b?;Italien;2021-02-17 21:33:58.162427;Tageszulassung;;Fiat;Tipo;2853934;2020;Rot;Metallic;ROSSO AMORE;;Kombi;5;5;Schaltgetriebe;6;1.368 cm³;4;;Front;Benzin;6,5 l/100 km (komb)8,5 l/100 km (innerorts)5,3 l/100 km (außerorts);132 g CO2/km (komb);Euro 6;True;False;37040 Zimella - Verona;16900;['', 'ABS', 'Beifahrerairbag', 'Bluetooth', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Sicherheit', 'Tagfahrlicht', 'Touchscreen', 'Unterhaltung/Media', 'Zentralverriegelung', 'teilb. Rücksitzbank'];;;;;;;
/angebote/fiat-tipo-tipo-1-4-5-sw-street-vari-colori-benzin-silber-61d72f0f-4874-48a7-81ff-14d692f66b8a?;Italien;2021-02-17 21:33:59.135609;Gebraucht;;Fiat;Tipo;620225897;2020;Silber;Metallic;silber;;Kombi;5;5;Schaltgetriebe;;1.368 cm³;;;Front;Super 95;6,5 l/100 km (komb)8,5 l/100 km (innerorts)5,3 l/100 km (außerorts);132 g CO2/km (komb);;True;False;39031 Brunico BZ;14700;['', 'ABS', 'Alufelgen', 'ESP', 'Elektr. Fensterheber', 'Extras', 'Klimaanlage', 'Komfort', 'Sicherheit', 'Tempomat', 'Zentralverriegelung'];;;1 (Keine);;;;
/angebote/fiat-tipo-1-6-mjt-s-s-sw-lounge-diesel-braun-f4cf156b-32ab-4bc9-a73d-2bd2a69a2e84?;Italien;2021-02-17 21:33:59.759598;Gebraucht;24 Monate;Fiat;Tipo;13098662;2020;Braun;Metallic;Marrone;Stoff, Grau;Kombi;5;5;Schaltgetriebe;6;1.598 cm³;4;1.395 kg;Front;Diesel (Rußpartikelfilter);4,8 l/100 km (komb)5,2 l/100 km (innerorts)4,6 l/100 km (außerorts);124 g CO2/km (komb);Euro 6;True;False;10040 Leini - Torino;17900;['', 'ABS', 'Airbag hinten', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Bordcomputer', 'CD', 'DAB-Radio', 'Einparkhilfe', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Freisprecheinrichtung', 'Isofix', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'LED-Scheinwerfer', 'Lederlenkrad', 'MP3', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Skisack', 'Tempomat', 'Touchscreen', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung'];;;;;;;
/angebote/fiat-tipo-1-6-mjt-s-s-sw-lounge-diesel-8efa9f03-cb6a-44d0-a7b8-27ba7900180f?;Italien;2021-02-17 21:34:00.900942;Tageszulassung;;Fiat;Tipo;4451288;2020;;;;;Kombi;5;5;Schaltgetriebe;6;1.598 cm³;4;;Front;Diesel;4,8 l/100 km (komb)5,2 l/100 km (innerorts)4,6 l/100 km (außerorts);124 g CO2/km (komb);Euro 6;True;False;21013 Gallarate - Varese - Va;17790;['', 'ABS', 'Alufelgen', 'Armlehne', 'Beifahrerairbag', 'Bluetooth', 'Einparkhilfe', 'Einparkhilfe Kamera', 'Einparkhilfe Sensoren hinten', 'Elektr. Fensterheber', 'Elektrische Seitenspiegel', 'Extras', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'Lederlenkrad', 'MP3', 'Nebelscheinwerfer', 'Radio', 'Reifendruckkontrollsystem', 'Seitenairbag', 'Sicherheit', 'Start/Stop-Automatik', 'Tempomat', 'Touchscreen', 'Unterhaltung/Media', 'Zentralverriegelung', 'teilb. Rücksitzbank'];;;;;;;
/angebote/fiat-tipo-1-3-mjt-s-s-sw-easy-diesel-schwarz-6feb3e9d-9369-455e-a8fe-4158abbd118b?;Italien;2021-02-17 21:34:01.832234;Tageszulassung;24 Monate;Fiat;Tipo;14543463;2020;Schwarz;Standardlackierung;Nero;Stoff, Schwarz;Kombi;5;5;Schaltgetriebe;5;1.248 cm³;4;1.375 kg;Front;Diesel;4,3 l/100 km (komb)4,4 l/100 km (innerorts)3,4 l/100 km (außerorts);113 g CO2/km (komb);Euro 6d-TEMP;True;False;10024 Moncalieri - Torino - To;13690;['', 'ABS', 'Armlehne', 'Beifahrerairbag', 'Berganfahrassistent', 'Bluetooth', 'DAB-Radio', 'Elektr. Fensterheber', 'Extras', 'Klimaanlage', 'Klimaautomatik', 'Komfort', 'Kopfairbag', 'MP3', 'Nebelscheinwerfer', 'Radio', 'Seitenairbag', 'Servolenkung', 'Sicherheit', 'Sprachsteuerung', 'Start/Stop-Automatik', 'Tempomat', 'Touchscreen', 'USB', 'Unterhaltung/Media', 'Wegfahrsperre', 'Zentralverriegelung', 'Zentralverriegelung mit Funkfernbedienung', 'teilb. Rücksitzbank'];;;;;;;
/angebote/fiat-tipo-station-wagon-1-3-mjt-95cv-easy-e6d-diesel-weiss-5e7b1acf-3713-4b51-a5a7-fe4767fad416?;Italien;2021-02-17 21:34:02.835640;Tageszulassung;;Fiat;Tipo;99212356;2020;Weiß;Metallic;Perla Sabbia metallizzato;;Kombi;;5;Schaltgetriebe;;1.248 cm³;;;Front;Diesel;;;;True;False;30174 Mestre - Ve;15500;[];;;;;;;
